new dataset

conf 0.5
iou 0.45

loaded weights logs/loss_temperature_distillation_small_mobilenets2_a01_000/ep087-loss23.336-val_loss17.060.h5
224
aeroplane: 0.0950
bicycle: 0.0615
bird: 0.0187
boat: 0.0434
bottle: 0.0216
bus: 0.3626
car: 0.4031
cat: 0.0974
chair: 0.0164
cow: 0.0062
diningtable: 0.1329
dog: 0.1988
horse: 0.0330
motorbike: 0.2345
person: 0.1896
pottedplant: 0.0024
sheep: 0.0966
sofa: 0.0235
train: 0.0357
tvmonitor: 0.0882
mAP: 0.1080

loaded weights logs/loss_temperature_distillation_small_mobilenets2_a01_000/ep054-loss25.635-val_loss19.602.h5
416 0.5 0.45
aeroplane: 0.0881
bicycle: 0.1454
bird: 0.0508
boat: 0.0329
bottle: 0.0151
bus: 0.2995
car: 0.3486
cat: 0.1432
chair: 0.0177
cow: 0.0302
diningtable: 0.0724
dog: 0.1353
horse: 0.0840
motorbike: 0.1829
person: 0.2276
pottedplant: 0.0024
sheep: 0.1408
sofa: 0.0367
train: 0.0272
tvmonitor: 0.1248
mAP: 0.1103

loaded weights logs/loss_temperature_distillation_small_mobilenets2_a01_000/ep075-loss19.966-val_loss19.062.h5
416
aeroplane: 0.0888
bicycle: 0.1247
bird: 0.0426
boat: 0.0407
bottle: 0.0209
bus: 0.3285
car: 0.3687
cat: 0.1307
chair: 0.0177
cow: 0.0403
diningtable: 0.0836
dog: 0.1523
horse: 0.0644
motorbike: 0.1849
person: 0.2641
pottedplant: 0.0025
sheep: 0.1278
sofa: 0.0150
train: 0.0117
tvmonitor: 0.1341
mAP: 0.1122

loaded weights logs/loss_temperature_distillation_small_mobilenets2_a01_000/ep087-loss23.336-val_loss17.060.h5
416
aeroplane: 0.0719
bicycle: 0.0973
bird: 0.0371
boat: 0.0362
bottle: 0.0203
bus: 0.3520
car: 0.3934
cat: 0.1232
chair: 0.0180
cow: 0.0355
diningtable: 0.0698
dog: 0.1721
horse: 0.0710
motorbike: 0.1679
person: 0.2611
pottedplant: 0.0015
sheep: 0.1279
sofa: 0.0239
train: 0.0138
tvmonitor: 0.1333
mAP: 0.1114


loaded weights logs/loss_temperature_distillation_small_mobilenets2_a01_000/last_loss15.2184-val_loss35.6168.h5
416
aeroplane: 0.0028
bicycle: 0.0000
bird: 0.0233
boat: 0.0111
bottle: 0.0040
bus: 0.0495
car: 0.2444
cat: 0.1446
chair: 0.0103
cow: 0.0783
diningtable: 0.0978
dog: 0.0089
horse: 0.0137
motorbike: 0.0145
person: 0.1588
pottedplant: 0.0042
sheep: 0.0023
sofa: 0.0000
train: 0.0760
tvmonitor: 0.0457
mAP: 0.0495

loaded weights logs/loss_temperature_distillation_small_mobilenets2_a01_pretrain_000/ep030-loss14.040-val_loss23.142.h5
416 0.5 0.45
aeroplane: 0.3292
bicycle: 0.5387
bird: 0.2491
boat: 0.1614
bottle: 0.2106
bus: 0.4308
car: 0.4945
cat: 0.4183
chair: 0.1267
cow: 0.0032
diningtable: 0.1466
dog: 0.3143
horse: 0.5329
motorbike: 0.5263
person: 0.3901
pottedplant: 0.1060
sheep: 0.3583
sofa: 0.5288
train: 0.5189
tvmonitor: 0.2604
mAP: 0.3322

loaded weights logs/loss_temperature_distillation_small_mobilenets2_a01_pretrain_000/ep060-loss16.500-val_loss16.341.h5
416 0.5 0.45
aeroplane: 0.3891
bicycle: 0.4505
bird: 0.3115
boat: 0.1966
bottle: 0.1949
bus: 0.5219
car: 0.5538
cat: 0.4262
chair: 0.1291
cow: 0.2327
diningtable: 0.2689
dog: 0.3108
horse: 0.4255
motorbike: 0.4588
person: 0.3970
pottedplant: 0.0974
sheep: 0.3816
sofa: 0.4907
train: 0.4907
tvmonitor: 0.4249
mAP: 0.3576

loaded weights logs/loss_temperature_distillation_small_mobilenets2_a01_pretrain_000/ep066-loss13.959-val_loss17.035.h5
416 0.5 0.45
aeroplane: 0.3998
bicycle: 0.4647
bird: 0.3038
