new dataset

conf 0.5
iou 0.45

416
loaded weights logs/new_small_mobilenets2_000/ep171-loss12.986-val_loss15.458.h5
aeroplane: 0.4511
bicycle: 0.4629
bird: 0.2784
boat: 0.2813
bottle: 0.1910
bus: 0.5361
car: 0.5683
cat: 0.5604
chair: 0.1442
cow: 0.2388
diningtable: 0.2982
dog: 0.3695
horse: 0.4523
motorbike: 0.5200
person: 0.4394
pottedplant: 0.1073
sheep: 0.4024
sofa: 0.4606
train: 0.4994
tvmonitor: 0.4383
mAP: 0.3850

loaded weights logs/new_small_mobilenets2_000/last_loss13.1045-val_loss13.1045.h5
aeroplane: 0.4444
bicycle: 0.4630
bird: 0.2670
boat: 0.2821
bottle: 0.1975
bus: 0.5504
car: 0.5634
cat: 0.5579
chair: 0.1473
cow: 0.2449
diningtable: 0.3016
dog: 0.3554
horse: 0.4496
motorbike: 0.5172
person: 0.4353
pottedplant: 0.1052
sheep: 0.4045
sofa: 0.4607
train: 0.4995
tvmonitor: 0.4383
mAP: 0.3843

loaded weights logs/new_small_mobilenets2_000/ep054-loss13.312-val_loss15.639.h5
416
aeroplane: 0.4444
bicycle: 0.4658
bird: 0.2673
boat: 0.2813
bottle: 0.1912
bus: 0.5433
car: 0.5675
cat: 0.5577
chair: 0.1438
cow: 0.2347
diningtable: 0.2952
dog: 0.3539
horse: 0.4529
motorbike: 0.5172
person: 0.4349
pottedplant: 0.1010
sheep: 0.3996
sofa: 0.4568
train: 0.4960
tvmonitor: 0.4351
mAP: 0.3820

224

loaded weights logs/new_small_mobilenets2_000/ep171-loss12.986-val_loss15.458.h5
224
aeroplane: 0.4416
bicycle: 0.3586
bird: 0.2017
boat: 0.1947
bottle: 0.0883
bus: 0.4788
car: 0.4588
cat: 0.4588
chair: 0.0909
cow: 0.1917
diningtable: 0.3589
dog: 0.3143
horse: 0.3121
motorbike: 0.4378
person: 0.3267
pottedplant: 0.0553
sheep: 0.2613
sofa: 0.3639
train: 0.4669
tvmonitor: 0.2741
mAP: 0.3068

loaded weights logs/loss_temperature_distillation_small_mobilenets2_000/ep087-loss23.336-val_loss17.060.h5
224
aeroplane: 0.0950
bicycle: 0.0615
bird: 0.0187
boat: 0.0434
bottle: 0.0216
bus: 0.3626
car: 0.4031
cat: 0.0974
chair: 0.0164
cow: 0.0062
diningtable: 0.1329
dog: 0.1988
horse: 0.0330
motorbike: 0.2345
person: 0.1896
pottedplant: 0.0024
sheep: 0.0966
sofa: 0.0235
train: 0.0357
tvmonitor: 0.0882
mAP: 0.1080

loaded weights logs/loss_temperature_distillation_small_mobilenets2_000/ep087-loss23.336-val_loss17.060.h5
416
aeroplane: 0.0719
bicycle: 0.0973
bird: 0.0371
boat: 0.0362
bottle: 0.0203
bus: 0.3520
car: 0.3934
cat: 0.1232
chair: 0.0180
cow: 0.0355
diningtable: 0.0698
dog: 0.1721
horse: 0.0710
motorbike: 0.1679
person: 0.2611
pottedplant: 0.0015
sheep: 0.1279
sofa: 0.0239
train: 0.0138
tvmonitor: 0.1333
mAP: 0.1114

loaded weights logs/loss_temperature_distillation_small_mobilenets2_000/ep075-loss19.966-val_loss19.062.h5
416
aeroplane: 0.0888
bicycle: 0.1247
bird: 0.0426
boat: 0.0407
bottle: 0.0209
bus: 0.3285
car: 0.3687
cat: 0.1307
chair: 0.0177
cow: 0.0403
diningtable: 0.0836
dog: 0.1523
horse: 0.0644
motorbike: 0.1849
person: 0.2641
pottedplant: 0.0025
sheep: 0.1278
sofa: 0.0150
train: 0.0117
tvmonitor: 0.1341
mAP: 0.1122

loaded weights logs/loss_temperature_distillation_small_mobilenets2_000/last_loss15.2184-val_loss35.6168.h5
416
aeroplane: 0.0028
bicycle: 0.0000
bird: 0.0233
boat: 0.0111
bottle: 0.0040
bus: 0.0495
car: 0.2444
cat: 0.1446
chair: 0.0103
cow: 0.0783
diningtable: 0.0978
dog: 0.0089
horse: 0.0137
motorbike: 0.0145
person: 0.1588
